keyword,same
낙동강하구에코센터,"['흔하다', '수많다', '드넓다', '젊다', '싸다', '매섭다', '벅차다', '휑하다', '빨갛다', '눈부시다', '힘차다', '서글프다', '빠르다', '적다', '미끄럽다', '비싸다', '두렵다', '번거롭다', '낫다', '뻔하다', '세차다', '하얗다', '순하다', '탁하다', '비탈지다', '인상깊다', '하찮다', '특별나다', '예뿌다', '두껍다', '밝다', '성스럽다', '보람차다', '무덥다', '알맞다', '걸맞다', '쎄다', '구리다', '정신없다', '곱다', '엄청나다', '오래다', '까맣다', '손색없다', '알차다', '줄기차다', '빼어나다', '비좁다', '예뻤다', '새롭다', '멋없다', '경이롭다', '이롭다', '사납다', '좁다', '지리다', '족하다', '얕다', '반갑다', '기쁘다', '아깝다', '앙증맞다', '시끄럽다', '연하다', '찰지다', '야무지다', '새파랗다', '우습다', '습하다', '어렵다', '거세다', '무섭다', '익다', '즐겁다', '험하다', '살갑다', '폭넓다', '거칠다', '어려우다', '희다', '더럽다', '두드러지다', '정겹다', '멀다', '해맑다', '부끄럽다', '싱그럽다', '어설프다', '친하다', '차다', '넓디넓다', '뛰어나다', '지겹다', '문제없다', '노랗다', '드럽다', '구성지다', '따갑다', '뜨겁다', '멋있다', '유례없다', '붉다', '드물다', '밉다', '그립다', '맑다', '재미나다', '쨍하다', '어이없다', '커다랗다', '까다롭다', '묘하다', '곧다', '서럽다', '끊임없다', '조그맣다', '손쉽다', '외롭다', '섭하다', '흥겹다', '아름답다', '외지다', '틀림없다', '벌겋다', '재빠르다', '후하다', '낯익다', '슬프다', '아름다우다', '놀랍다', '고르다', '시리다', '춥다', '수줍다', '어둡다', '눈물겹다', '가깝다', '가파르다', '무겁다', '안타깝다', '귀엽다', '아낌없다', '힘겹다', '덥다', '먹먹하다', '시퍼렇다', '점잖다', '뿌옇다', '버겁다', '재미없다', '어지럽다', '유별나다', '더우다', '고되다', '푸르다', '뜻깊다', '귀여우다', '이쁘다', '약하다', '쓸데없다', '특출나다', '정답다', '가볍다', '낯설다', '우렁차다', '멋지다', '박하다', '만만찮다', '재미있다', '밤늦다', '차갑다', '깊다', '못지않다', '잽싸다', '급하다', '짙다', '심심찮다', '환하다', '적잖다', '싫다', '느리다', '남다르다', '낡다', '낮다', '활기차다', '흐드러지다', '귀하다', '힘드다', '빡세다', '바르다', '덩그러다', '새까맣다', '흉하다', '과하다', '누리다', '숨차다', '가까우다']"
해운대 동백섬,"['흔하다', '수많다', '드넓다', '젊다', '싸다', '매섭다', '캄캄하다', '빨갛다', '눈부시다', '힘차다', '빠르다', '속상하다', '적다', '미끄럽다', '비싸다', '멋들어지다', '두렵다', '낫다', '뻔하다', '세차다', '값싸다', '하얗다', '가엾다', '순하다', '인상깊다', '아쉬우다', '하찮다', '예뿌다', '어두우다', '두껍다', '밝다', '무덥다', '알맞다', '걸맞다', '쎄다', '구리다', '정신없다', '곱다', '미끄러우다', '엄청나다', '사이좋다', '오래다', '꿈같다', '까맣다', '손색없다', '알차다', '비좁다', '예뻤다', '새롭다', '경이롭다', '좁다', '반갑다', '족하다', '얕다', '즐거다', '기쁘다', '아깝다', '앙증맞다', '시끄럽다', '연하다', '찰지다', '따시다', '야무지다', '새파랗다', '습하다', '어렵다', '거세다', '무섭다', '즐겁다', '험하다', '어려우다', '색다르다', '거칠다', '희다', '더럽다', '오지다', '정겹다', '매끄럽다', '해맑다', '멀다', '부끄럽다', '가쁘다', '싱그럽다', '어설프다', '친하다', '차다', '넓디넓다', '뛰어나다', '지겹다', '쩔다', '노랗다', '애처롭다', '드럽다', '따갑다', '뜨겁다', '멋있다', '슬푸다', '훤하다', '드세다', '붉다', '드물다', '찹다', '밉다', '실하다', '그립다', '맑다', '재미나다', '변함없다', '쨍하다', '어이없다', '커다랗다', '까다롭다', '묘하다', '곧다', '생뚱맞다', '서럽다', '끊임없다', '조그맣다', '손쉽다', '영하다', '외롭다', '섭하다', '여리다', '아름답다', '푸르르다', '외지다', '틀림없다', '촌스럽다', '재빠르다', '후하다', '슬프다', '아름다우다', '놀랍다', '징그럽다', '고르다', '춥다', '수줍다', '검붉다', '어둡다', '쑥스럽다', '가깝다', '가파르다', '무겁다', '단촐하다', '안타깝다', '귀엽다', '덥다', '새하얗다', '시퍼렇다', '뿌옇다', '재미없다', '거침없다', '어지럽다', '더우다', '고되다', '푸르다', '뜻깊다', '귀여우다', '감명깊다', '동그랗다', '이쁘다', '약하다', '감질나다', '희뿌옇다', '가볍다', '끄떡없다', '낯설다', '멋지다', '박하다', '만만찮다', '재미있다', '밤늦다', '차갑다', '깊다', '값지다', '얄궂다', '못지않다', '잽싸다', '급하다', '짙다', '따숩다', '심심찮다', '환하다', '싫다', '추우다', '느리다', '지겨우다', '남다르다', '후지다', '낡다', '낮다', '보드랍다', '활기차다', '흐드러지다', '파랗다', '귀하다', '목마르다', '힘드다', '빡세다', '기막히다', '퍼렇다', '과하다', '굳세다', '달갑다', '가까우다']"
금정산,"['수많다', '귀엽다', '흔하다', '젊다', '덥다', '알차다', '새롭다', '멋있다', '붉다', '좁다', '빠르다', '맑다', '푸르다', '반갑다', '엄청나다', '이쁘다', '적다', '습하다', '가볍다', '곧다', '멋지다', '어렵다', '무섭다', '깊다', '즐겁다', '어려우다', '하얗다', '조그맣다', '거칠다', '색다르다', '잽싸다', '환하다', '싫다', '아름답다', '희망차다', '남다르다', '멀다', '밝다', '낮다', '후하다', '차다', '춥다', '즐거우다', '쎄다', '쩔다', '가깝다', '가파르다', '무겁다', '안타깝다']"
다대포해수욕장,"['흔하다', '수많다', '시뻘겋다', '드넓다', '젊다', '싸다', '매섭다', '벅차다', '휑하다', '빨갛다', '눈부시다', '주의깊다', '힘차다', '빠르다', '속상하다', '적다', '헐벗다', '미끄럽다', '비싸다', '두렵다', '낫다', '뻔하다', '세차다', '하얗다', '값싸다', '순하다', '마땅찮다', '탁하다', '인상깊다', '아쉬우다', '하찮다', '특별나다', '예뿌다', '두껍다', '밝다', '보람차다', '알맞다', '걸맞다', '쎄다', '구리다', '정신없다', '곱다', '엄청나다', '사이좋다', '따사롭다', '오래다', '꿈같다', '까맣다', '손색없다', '알차다', '비좁다', '예뻤다', '새롭다', '빡쎄다', '멋없다', '경이롭다', '사납다', '좁다', '반갑다', '얕다', '기쁘다', '즐거다', '아깝다', '앙증맞다', '시끄럽다', '연하다', '따시다', '야무지다', '우습다', '억세다', '습하다', '어렵다', '거세다', '즐겁다', '무섭다', '살갑다', '험하다', '어려우다', '색다르다', '거칠다', '희다', '더럽다', '오지다', '뜨거우다', '정겹다', '멀다', '해맑다', '부끄럽다', '싱그럽다', '차다', '친하다', '넓디넓다', '뛰어나다', '지겹다', '쩔다', '문제없다', '노랗다', '드럽다', '뜨겁다', '멋있다', '드세다', '붉다', '드물다', '찹다', '밉다', '실하다', '그립다', '맑다', '재미나다', '변함없다', '쨍하다', '어이없다', '커다랗다', '까다롭다', '묘하다', '서럽다', '조그맣다', '외롭다', '섭하다', '아름답다', '외지다', '틀림없다', '벌겋다', '촌스럽다', '슬프다', '낯익다', '아름다우다', '놀랍다', '징그럽다', '고르다', '시리다', '춥다', '수줍다', '어둡다', '야물딱지다', '가깝다', '가파르다', '무겁다', '안타깝다', '귀엽다', '덥다', '힘겹다', '점잖다', '뿌옇다', '버겁다', '재미없다', '어지럽다', '격하다', '더우다', '푸르다', '뜻깊다', '귀여우다', '동그랗다', '기똥차다', '이쁘다', '약하다', '쓸데없다', '새빨갛다', '정답다', '가볍다', '낯설다', '멋지다', '빡시다', '어여쁘다', '재미있다', '밤늦다', '차갑다', '깊다', '못지않다', '급하다', '짙다', '따숩다', '심심찮다', '뼈저리다', '환하다', '싫다', '추우다', '느리다', '지겨우다', '낡다', '낮다', '보드랍다', '씨다', '활기차다', '파랗다', '귀하다', '힘드다', '빡세다', '바르다', '덩그러다', '새까맣다', '기막히다', '과하다', '굳세다', '가까우다']"
장안사(부산),"['흔하다', '수많다', '오래다', '드넓다', '싸다', '비좁다', '알차다', '새롭다', '드럽다', '뜨겁다', '멋있다', '드세다', '귀엽다', '덥다', '뿌옇다', '붉다', '빠르다', '좁다', '맑다', '그립다', '반갑다', '얕다', '즐거다', '푸르다', '뜻깊다', '아깝다', '적다', '앙증맞다', '시끄럽다', '이쁘다', '야무지다', '비싸다', '커다랗다', '낫다', '습하다', '가볍다', '과하다', '멋지다', '어렵다', '재미있다', '무섭다', '즐겁다', '깊다', '차갑다', '하얗다', '못지않다', '거칠다', '급하다', '짙다', '무겁다', '싫다', '예뿌다', '정겹다', '아름답다', '멀다', '해맑다', '밝다', '낮다', '용하다', '놀랍다', '귀하다', '차다', '춥다', '알맞다', '걸맞다', '정신없다', '어둡다', '흥겹다', '가파르다', '엄청나다']"
태종사,"['흔하다', '수많다', '시뻘겋다', '젊다', '드넓다', '싸다', '짠하다', '벅차다', '부시다', '휑하다', '빨갛다', '눈부시다', '힘차다', '뿌리깊다', '빠르다', '적다', '미끄럽다', '비싸다', '두렵다', '번거롭다', '낫다', '세차다', '하얗다', '순하다', '인상깊다', '아쉬우다', '하찮다', '역하다', '예뿌다', '두껍다', '밝다', '보람차다', '알맞다', '걸맞다', '쎄다', '구리다', '정신없다', '곱다', '엄청나다', '사이좋다', '오래다', '까맣다', '손색없다', '알차다', '새롭다', '빡쎄다', '좁다', '반갑다', '지리다', '얕다', '족하다', '아깝다', '시끄럽다', '앙증맞다', '찰지다', '연하다', '야무지다', '헛되다', '새파랗다', '습하다', '우습다', '어렵다', '거세다', '즐겁다', '무섭다', '험하다', '어려우다', '색다르다', '거칠다', '더럽다', '오지다', '뜨거우다', '정겹다', '멀다', '냅다', '부끄럽다', '싱그럽다', '차다', '넓디넓다', '지겹다', '쩔다', '노랗다', '드럽다', '애처롭다', '뜨겁다', '멋있다', '훤하다', '드세다', '붉다', '찹다', '맑다', '그립다', '쨍하다', '어이없다', '커다랗다', '묘하다', '곧다', '서럽다', '조그맣다', '손쉽다', '새카맣다', '섭하다', '아름답다', '푸르르다', '틀림없다', '촌스럽다', '재빠르다', '후하다', '슬프다', '아름다우다', '놀랍다', '고르다', '춥다', '수줍다', '서툴다', '어둡다', '가깝다', '가파르다', '무겁다', '단촐하다', '안타깝다', '귀엽다', '덥다', '힘겹다', '새하얗다', '뿌옇다', '재미없다', '어지럽다', '더우다', '푸르다', '짓궂다', '뜻깊다', '귀여우다', '이쁘다', '동그랗다', '기똥차다', '약하다', '쓸데없다', '감질나다', '희뿌옇다', '가볍다', '낯설다', '멋지다', '빡시다', '재미있다', '깊다', '차갑다', '못지않다', '잽싸다', '급하다', '짙다', '심심찮다', '따숩다', '환하다', '싫다', '추우다', '느리다', '지겨우다', '남다르다', '낡다', '낮다', '활기차다', '흐드러지다', '파랗다', '귀하다', '힘드다', '빡세다', '새까맣다', '기막히다', '그럴싸하다', '과하다', '누리다', '횡하다', '가까우다']"
초량교회,"['흔하다', '수많다', '젊다', '싸다', '벅차다', '힘차다', '서글프다', '빠르다', '적다', '비싸다', '두렵다', '번거롭다', '낫다', '뻔하다', '하얗다', '인상깊다', '아쉬우다', '예뿌다', '두껍다', '밝다', '보람차다', '무덥다', '알맞다', '걸맞다', '쎄다', '정신없다', '곱다', '엄청나다', '사이좋다', '까맣다', '손색없다', '예뻤다', '알차다', '새롭다', '비좁다', '이롭다', '좁다', '반갑다', '기쁘다', '아깝다', '앙증맞다', '시끄럽다', '연하다', '야무지다', '습하다', '우습다', '어렵다', '무섭다', '즐겁다', '폭넓다', '험하다', '어려우다', '색다르다', '희다', '더럽다', '정겹다', '멀다', '해맑다', '부끄럽다', '어설프다', '친하다', '뛰어나다', '지겹다', '따갑다', '뜨겁다', '멋있다', '붉다', '드물다', '맑다', '그립다', '어이없다', '까다롭다', '묘하다', '생뚱맞다', '끊임없다', '메마르다', '손쉽다', '외롭다', '섭하다', '아름답다', '틀림없다', '촌스럽다', '슬프다', '낯익다', '아름다우다', '놀랍다', '고르다', '시리다', '춥다', '어둡다', '가깝다', '가파르다', '무겁다', '숱하다', '안타깝다', '귀엽다', '덥다', '힘겹다', '새하얗다', '시퍼렇다', '점잖다', '재미없다', '어지럽다', '거침없다', '더우다', '뜻있다', '고되다', '푸르다', '뜻깊다', '귀여우다', '이쁘다', '동그랗다', '감명깊다', '약하다', '정답다', '가볍다', '낯설다', '우렁차다', '멋지다', '재미있다', '깊다', '차갑다', '밤늦다', '못지않다', '급하다', '짙다', '심심찮다', '따숩다', '뼈저리다', '환하다', '싫다', '느리다', '낡다', '낮다', '보드랍다', '파랗다', '귀하다', '목마르다', '힘드다', '빡세다', '과하다', '굳세다', '달갑다']"
해동 용궁사(부산),"['흔하다', '짠하다', '수많다', '드넓다', '젊다', '싸다', '부시다', '휑하다', '빨갛다', '눈부시다', '주의깊다', '힘차다', '빠르다', '속상하다', '적다', '미끄럽다', '비싸다', '두렵다', '멋들어지다', '낫다', '번거롭다', '옛스럽다', '세차다', '하얗다', '가엾다', '인상깊다', '아쉬우다', '하찮다', '특별나다', '예뿌다', '어두우다', '두껍다', '밝다', '무덥다', '알맞다', '걸맞다', '쎄다', '구리다', '정신없다', '곱다', '미끄러우다', '엄청나다', '사이좋다', '오래다', '까맣다', '비좁다', '알차다', '빼어나다', '새롭다', '빡쎄다', '경이롭다', '이롭다', '좁다', '반갑다', '얕다', '즐거다', '기쁘다', '아깝다', '앙증맞다', '시끄럽다', '연하다', '야무지다', '헛되다', '새파랗다', '우습다', '습하다', '남부럽다', '어렵다', '거세다', '무섭다', '즐겁다', '살갑다', '여유있다', '험하다', '어려우다', '색다르다', '거칠다', '더럽다', '오지다', '뜨거우다', '정겹다', '멀다', '냅다', '부끄럽다', '싱그럽다', '어설프다', '차다', '뛰어나다', '지겹다', '새로우다', '쩔다', '문제없다', '노랗다', '따갑다', '뜨겁다', '멋있다', '붉다', '드물다', '찹다', '실하다', '그립다', '맑다', '재미나다', '변함없다', '쨍하다', '어이없다', '커다랗다', '묘하다', '곧다', '그리우다', '생뚱맞다', '끊임없다', '조그맣다', '손쉽다', '영하다', '외롭다', '새카맣다', '섭하다', '아름답다', '푸르르다', '틀림없다', '촌스럽다', '슬프다', '낯익다', '아름다우다', '놀랍다', '징그럽다', '고르다', '시리다', '춥다', '수줍다', '검붉다', '어둡다', '가깝다', '가파르다', '무겁다', '단촐하다', '안타깝다', '귀엽다', '덥다', '힘겹다', '뿌옇다', '재미없다', '어지럽다', '더우다', '뜻있다', '고되다', '푸르다', '뜻깊다', '귀여우다', '동그랗다', '이쁘다', '약하다', '좁디좁다', '가볍다', '낯설다', '멋지다', '박하다', '재미있다', '밤늦다', '차갑다', '깊다', '못지않다', '잽싸다', '급하다', '짙다', '따숩다', '환하다', '싫다', '느리다', '남다르다', '낡다', '낮다', '활기차다', '파랗다', '귀하다', '목마르다', '힘드다', '빡세다', '바르다', '덩그러다', '새까맣다', '그럴싸하다', '과하다', '굳세다', '달갑다', '가까우다']"
부산 중앙공원,"['흔하다', '수많다', '젊다', '싸다', '드넓다', '벅차다', '휑하다', '빨갛다', '눈부시다', '힘차다', '빠르다', '속상하다', '적다', '미끄럽다', '비싸다', '두렵다', '번거롭다', '낫다', '뻔하다', '세차다', '하얗다', '순하다', '인상깊다', '아쉬우다', '하찮다', '예뿌다', '두껍다', '밝다', '무덥다', '알맞다', '쎄다', '걸맞다', '정신없다', '곱다', '엄청나다', '사이좋다', '오래다', '까맣다', '비좁다', '알차다', '새롭다', '예뻤다', '손색없다', '빼어나다', '경이롭다', '청승맞다', '좁다', '반갑다', '기쁘다', '얕다', '즐거다', '아깝다', '시끄럽다', '앙증맞다', '찰지다', '연하다', '야무지다', '습하다', '어렵다', '거세다', '즐겁다', '무섭다', '살갑다', '어려우다', '험하다', '색다르다', '거칠다', '희다', '더럽다', '오지다', '정겹다', '멀다', '해맑다', '부끄럽다', '싱그럽다', '어설프다', '차다', '넓디넓다', '뛰어나다', '지겹다', '쩔다', '문제없다', '노랗다', '드럽다', '따갑다', '뜨겁다', '멋있다', '훤하다', '드세다', '유례없다', '붉다', '드물다', '찹다', '실하다', '맑다', '그립다', '재미나다', '변함없다', '쨍하다', '어이없다', '까다롭다', '묘하다', '곧다', '맑디맑다', '끊임없다', '조그맣다', '손쉽다', '외롭다', '섭하다', '흥겹다', '아름답다', '외지다', '볼품없다', '틀림없다', '재빠르다', '후하다', '슬프다', '아름다우다', '놀랍다', '고르다', '춥다', '수줍다', '서툴다', '어둡다', '야물딱지다', '가깝다', '가파르다', '무겁다', '안타깝다', '귀엽다', '덥다', '힘겹다', '뿌옇다', '재미없다', '어지럽다', '유별나다', '격하다', '더우다', '푸르다', '고되다', '뜻깊다', '귀여우다', '이쁘다', '약하다', '동그랗다', '감명깊다', '쓸데없다', '정답다', '가볍다', '낯설다', '멋지다', '박하다', '빡시다', '만만찮다', '재미있다', '깊다', '차갑다', '밤늦다', '못지않다', '얄궂다', '잽싸다', '급하다', '짙다', '따숩다', '심심찮다', '환하다', '싫다', '적잖다', '추우다', '느리다', '낡다', '낮다', '보드랍다', '활기차다', '흐드러지다', '파랗다', '귀하다', '힘드다', '빡세다', '기막히다', '과하다', '굳세다', '달갑다', '가까우다']"
친환경 스카이웨이 전망대(이바구길),"['흔하다', '수많다', '드넓다', '젊다', '싸다', '매섭다', '휑하다', '눈부시다', '힘차다', '빠르다', '속상하다', '어두다', '적다', '미끄럽다', '비싸다', '멋들어지다', '두렵다', '낫다', '번거롭다', '옛스럽다', '세차다', '값싸다', '하얗다', '인상깊다', '아쉬우다', '하찮다', '예뿌다', '두껍다', '밝다', '무덥다', '알맞다', '걸맞다', '쎄다', '구리다', '정신없다', '곱다', '미끄러우다', '엄청나다', '사이좋다', '오래다', '손색없다', '알차다', '빼어나다', '비좁다', '예뻤다', '새롭다', '사납다', '좁다', '반갑다', '얕다', '기쁘다', '아깝다', '앙증맞다', '시끄럽다', '야무지다', '우습다', '습하다', '경사지다', '남부럽다', '어렵다', '거세다', '즐겁다', '무섭다', '살갑다', '험하다', '폭넓다', '어려우다', '색다르다', '거칠다', '희다', '더럽다', '쪼그맣다', '오지다', '정겹다', '멀다', '해맑다', '냅다', '부끄럽다', '싱그럽다', '어설프다', '차다', '친하다', '넓디넓다', '뛰어나다', '지겹다', '문제없다', '노랗다', '따갑다', '뜨겁다', '멋있다', '드세다', '붉다', '드물다', '찹다', '밉다', '실하다', '그립다', '맑다', '재미나다', '올곧다', '쨍하다', '어이없다', '커다랗다', '까다롭다', '묘하다', '곧다', '생뚱맞다', '서럽다', '끊임없다', '조그맣다', '손쉽다', '외롭다', '널럴하다', '섭하다', '흥겹다', '여리다', '아름답다', '푸르르다', '틀림없다', '촌스럽다', '재빠르다', '후하다', '슬프다', '낯익다', '아름다우다', '놀랍다', '징그럽다', '고르다', '시리다', '춥다', '수줍다', '어둡다', '가깝다', '가파르다', '무겁다', '안타깝다', '귀엽다', '덥다', '힘겹다', '드높다', '먹먹하다', '시퍼렇다', '뿌옇다', '버겁다', '재미없다', '어지럽다', '격하다', '더우다', '고되다', '푸르다', '뜻깊다', '귀여우다', '동그랗다', '감명깊다', '이쁘다', '약하다', '쓸데없다', '정답다', '희뿌옇다', '가볍다', '낯설다', '멋지다', '만만찮다', '재미있다', '차갑다', '깊다', '얄궂다', '값지다', '못지않다', '잽싸다', '급하다', '짙다', '따숩다', '심심찮다', '환하다', '적잖다', '싫다', '느리다', '남다르다', '낡다', '낮다', '활기차다', '흐드러지다', '파랗다', '힘드다', '빡세다', '덩그러다', '과하다', '굳세다', '달갑다', '가까우다']"
민주공원,"['흔하다', '짠하다', '수많다', '드넓다', '젊다', '시뻘겋다', '매섭다', '벅차다', '싸다', '휑하다', '빨갛다', '주의깊다', '눈부시다', '힘차다', '뿌리깊다', '빠르다', '속상하다', '적다', '헐벗다', '미끄럽다', '비싸다', '멋들어지다', '두렵다', '낫다', '번거롭다', '뻔하다', '값싸다', '하얗다', '순하다', '인상깊다', '아쉬우다', '하찮다', '역하다', '예뿌다', '두껍다', '밝다', '무덥다', '모자라다', '알맞다', '걸맞다', '쎄다', '구리다', '정신없다', '곱다', '엄청나다', '사이좋다', '오래다', '까맣다', '손색없다', '알차다', '줄기차다', '비좁다', '예뻤다', '새롭다', '경이롭다', '이롭다', '사납다', '좁다', '반갑다', '족하다', '얕다', '즐거다', '기쁘다', '아깝다', '앙증맞다', '시끄럽다', '연하다', '따시다', '야무지다', '헛되다', '우습다', '억세다', '습하다', '어렵다', '거세다', '무섭다', '즐겁다', '폭넓다', '험하다', '어려우다', '색다르다', '거칠다', '희다', '더럽다', '오지다', '뜨거우다', '두드러지다', '정겹다', '매끄럽다', '해맑다', '멀다', '똑바르다', '부끄럽다', '냅다', '가쁘다', '싱그럽다', '어설프다', '친하다', '차다', '뛰어나다', '지겹다', '쩔다', '주옥같다', '문제없다', '빛바래다', '노랗다', '드럽다', '구성지다', '따갑다', '뜨겁다', '멋있다', '훤하다', '드세다', '요상하다', '유례없다', '붉다', '드물다', '찹다', '밉다', '실하다', '그립다', '맑다', '재미나다', '올곧다', '변함없다', '어이없다', '커다랗다', '까다롭다', '묘하다', '곧다', '그리우다', '서럽다', '끊임없다', '메마르다', '조그맣다', '찡하다', '손쉽다', '외롭다', '섭하다', '여리다', '아름답다', '볼품없다', '틀림없다', '벌겋다', '재빠르다', '후하다', '낯익다', '슬프다', '더러우다', '아름다우다', '놀랍다', '용하다', '징그럽다', '고르다', '시리다', '춥다', '수줍다', '서툴다', '어둡다', '보잘것없다', '가깝다', '고달프다', '숱하다', '너그럽다', '단촐하다', '무겁다', '안타깝다', '가파르다', '귀엽다', '아낌없다', '힘겹다', '드높다', '덥다', '새하얗다', '시퍼렇다', '점잖다', '버겁다', '재미없다', '거침없다', '격하다', '어지럽다', '유별나다', '더우다', '뜻있다', '고되다', '짓궂다', '푸르다', '뜻깊다', '귀여우다', '감명깊다', '기똥차다', '동그랗다', '이쁘다', '쓸데없다', '약하다', '새빨갛다', '특출나다', '정답다', '좁디좁다', '가볍다', '낯설다', '우렁차다', '멋지다', '박하다', '빡시다', '만만찮다', '재미있다', '밤늦다', '차갑다', '누리다', '깊다', '값지다', '못지않다', '잽싸다', '급하다', '짙다', '따숩다', '심심찮다', '환하다', '적잖다', '싫다', '추우다', '느리다', '희망차다', '남다르다', '낡다', '낮다', '보드랍다', '씨다', '흐드러지다', '파랗다', '활기차다', '귀하다', '목마르다', '힘드다', '빡세다', '바르다', '덩그러다', '새까맣다', '과하다', '굳세다', '달갑다', '참하다', '가까우다']"
태종대온천찜질방,"['흔하다', '수많다', '간드러지다', '드넓다', '젊다', '시뻘겋다', '싸다', '벅차다', '휑하다', '빨갛다', '눈부시다', '도드라지다', '힘차다', '서글프다', '뿌리깊다', '빠르다', '속상하다', '적다', '미끄럽다', '비싸다', '두렵다', '낫다', '뻔하다', '세차다', '하얗다', '순하다', '인상깊다', '아쉬우다', '예뿌다', '어두우다', '두껍다', '밝다', '알맞다', '걸맞다', '쎄다', '구리다', '정신없다', '곱다', '엄청나다', '사이좋다', '오래다', '까맣다', '손색없다', '알차다', '비좁다', '새롭다', '사납다', '좁다', '반갑다', '얕다', '족하다', '기쁘다', '즐거다', '아깝다', '앙증맞다', '시끄럽다', '연하다', '따시다', '야무지다', '습하다', '어렵다', '거세다', '즐겁다', '무섭다', '험하다', '어려우다', '색다르다', '거칠다', '희다', '더럽다', '쪼그맣다', '오지다', '뜨거우다', '두드러지다', '정겹다', '매끄럽다', '해맑다', '멀다', '부끄럽다', '싱그럽다', '차다', '친하다', '넓디넓다', '뛰어나다', '지겹다', '쩔다', '문제없다', '노랗다', '드럽다', '따갑다', '뜨겁다', '멋있다', '훤하다', '붉다', '드물다', '찹다', '실하다', '그립다', '맑다', '재미나다', '변함없다', '쨍하다', '어이없다', '커다랗다', '까다롭다', '묘하다', '곧다', '맑디맑다', '생뚱맞다', '끊임없다', '조그맣다', '손쉽다', '외롭다', '섭하다', '아름답다', '외지다', '틀림없다', '벌겋다', '촌스럽다', '재빠르다', '슬프다', '낯익다', '놀랍다', '징그럽다', '고르다', '춥다', '수줍다', '어둡다', '가깝다', '가파르다', '숱하다', '무겁다', '안타깝다', '귀엽다', '덥다', '힘겹다', '뿌옇다', '달디달다', '재미없다', '거침없다', '격하다', '어지럽다', '더우다', '고되다', '푸르다', '뜻깊다', '동그랗다', '이쁘다', '약하다', '쓸데없다', '가볍다', '낯설다', '멋지다', '만만찮다', '재미있다', '밤늦다', '차갑다', '누리다', '깊다', '값지다', '못지않다', '잽싸다', '급하다', '짙다', '따숩다', '심심찮다', '뼈저리다', '환하다', '싫다', '추우다', '느리다', '지겨우다', '남다르다', '낡다', '낮다', '씨다', '활기차다', '흐드러지다', '파랗다', '귀하다', '목마르다', '힘드다', '빡세다', '기막히다', '그럴싸하다', '흥겹다', '굳세다', '가까우다']"
평화공원,"['흔하다', '짠하다', '수많다', '드넓다', '젊다', '싸다', '벅차다', '부시다', '빨갛다', '파아랗다', '주의깊다', '눈부시다', '힘차다', '서글프다', '빠르다', '속상하다', '적다', '미끄럽다', '비싸다', '멋들어지다', '두렵다', '낫다', '번거롭다', '뻔하다', '옛스럽다', '세차다', '하얗다', '가엾다', '순하다', '탁하다', '인상깊다', '아쉬우다', '하찮다', '예뿌다', '어두우다', '두껍다', '밝다', '보람차다', '무덥다', '알맞다', '걸맞다', '쎄다', '구리다', '정신없다', '곱다', '미끄러우다', '엄청나다', '사이좋다', '오래다', '까맣다', '손색없다', '알차다', '줄기차다', '빼어나다', '비좁다', '예뻤다', '새롭다', '빡쎄다', '이롭다', '사납다', '좁다', '지리다', '족하다', '얕다', '반갑다', '즐거다', '기쁘다', '아깝다', '앙증맞다', '시끄럽다', '연하다', '찰지다', '따시다', '야무지다', '헛되다', '우습다', '습하다', '어렵다', '거세다', '무섭다', '즐겁다', '살갑다', '험하다', '폭넓다', '색다르다', '거칠다', '희다', '더럽다', '오지다', '정겹다', '매끄럽다', '해맑다', '멀다', '부끄럽다', '싱그럽다', '어설프다', '친하다', '차다', '뛰어나다', '지겹다', '쩔다', '주옥같다', '문제없다', '노랗다', '애처롭다', '드럽다', '따갑다', '뜨겁다', '멋있다', '슬푸다', '드세다', '요상하다', '유례없다', '붉다', '드물다', '찹다', '밉다', '실하다', '그립다', '맑다', '재미나다', '올곧다', '변함없다', '쨍하다', '어이없다', '커다랗다', '까다롭다', '묘하다', '곧다', '서럽다', '끊임없다', '조그맣다', '손쉽다', '외롭다', '섭하다', '흥겹다', '아름답다', '푸르르다', '틀림없다', '벌겋다', '촌스럽다', '재빠르다', '후하다', '고우다', '낯익다', '슬프다', '아름다우다', '놀랍다', '징그럽다', '고르다', '춥다', '수줍다', '서툴다', '검붉다', '어둡다', '야물딱지다', '쑥스럽다', '가깝다', '고달프다', '숱하다', '무겁다', '단촐하다', '가파르다', '안타깝다', '귀엽다', '덥다', '힘겹다', '드높다', '새하얗다', '뿌옇다', '버겁다', '재미없다', '거침없다', '격하다', '어지럽다', '더우다', '뜻있다', '노오랗다', '푸르다', '뜻깊다', '귀여우다', '감명깊다', '기똥차다', '동그랗다', '이쁘다', '쓸데없다', '감질나다', '약하다', '새빨갛다', '정답다', '좁디좁다', '가볍다', '낯설다', '우렁차다', '멋지다', '박하다', '빡시다', '만만찮다', '재미있다', '밤늦다', '차갑다', '깊다', '얄궂다', '못지않다', '잽싸다', '급하다', '짙다', '따숩다', '심심찮다', '뼈저리다', '환하다', '적잖다', '싫다', '추우다', '느리다', '지겨우다', '낡다', '낮다', '보드랍다', '씨다', '흐드러지다', '파랗다', '활기차다', '귀하다', '힘드다', '빡세다', '바르다', '덩그러다', '새까맣다', '과하다', '굳세다', '숨차다', '가까우다']"
